subject,qname,own,meta,qtext,actual,confidence
R_z6GBvGyUgwuGJxf,iberian,1,0.8,Croatia is on the Iberian Peninsula.,0,0.5
R_z6GBvGyUgwuGJxf,nero,0,0.01,Nero was the first Roman Emperor,0,1
R_z6GBvGyUgwuGJxf,rome,0,0.4,The Magna Carta was signed in Rome,0,0.9
R_z6GBvGyUgwuGJxf,sahara,0,0.3,The Sahara Desert has a greater area than USA,0,0.9
R_z6GBvGyUgwuGJxf,cow,1,0.5,'Cheval' is French for 'cow',0,0.5
R_z6GBvGyUgwuGJxf,Tin,1,0.5,The chemical symbol for Tin is Sn,1,0.5
R_z6GBvGyUgwuGJxf,widow,1,0.8,Napoleon Bonaparte's first wife was a widow,1,0.5
R_z6GBvGyUgwuGJxf,rocket,1,0.6,Stephenson's Rocket was the first steam locomotive,0,0.6
R_z6GBvGyUgwuGJxf,nitrogen,0,0.5,Earth's atmosphere is mostly Nitrogen,1,0.9
R_z6GBvGyUgwuGJxf,riverSA,0,0.99,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.9
R_z6GBvGyUgwuGJxf,vjday,0,0.3,VJ Day occurred prior to VE Day,0,0.9
R_z6GBvGyUgwuGJxf,landl,1,0.5,Paraguay is a landlocked country.,1,0.5
R_z6GBvGyUgwuGJxf,louis,1,0.7,Marie Antoinette was married to Louis XVI,1,0.5
R_z6GBvGyUgwuGJxf,uranus,1,0.7,Uranus is bigger than Saturn,0,0.7
R_z6GBvGyUgwuGJxf,death,1,0.9,Socrates was sentenced to death,1,0.8
R_z6GBvGyUgwuGJxf,Rosetta,1,0.6,The Rosetta Stone contains an Ancient Greek section,1,0.6
R_z6GBvGyUgwuGJxf,anagram,1,0.99,There are no single word anagrams of the word 'anagram',1,0.8
R_z6GBvGyUgwuGJxf,dot,1,0.8,The dot above an 'i' or 'j' is called a 'tittle',1,0.8
R_z6GBvGyUgwuGJxf,iron,0,0.95,The Iron Age comes after the Bronze Age,1,0.5
R_z6GBvGyUgwuGJxf,custer,1,1,Custer was defeated at Little Bighorn,1,1
R_z6GBvGyUgwuGJxf,newz,1,0.9,Wellington is located on New Zealand's North Island.,1,0.6
R_z6GBvGyUgwuGJxf,Ocean,1,0.95,The Indian Ocean is the third largest ocean in the world,1,0.9
R_z6GBvGyUgwuGJxf,Berlin,1,0.9,The Berlin Wall was constructed by East Germany,1,1
R_z6GBvGyUgwuGJxf,africa,1,0.9,There are more countries in Africa than Asia,1,0.7
R_z6GBvGyUgwuGJxf,lincoln,0,0.7,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.7
R_z6GBvGyUgwuGJxf,atlantic,0,1,Columbus crossed the Atlantic in the Mary Rose,0,1
R_z6GBvGyUgwuGJxf,femur,1,0.95,The longest bone in the human body is the femur,1,0.9
R_z6GBvGyUgwuGJxf,year,0,0.9,A lightyear is a unit of distance,1,1
R_z6GBvGyUgwuGJxf,Memphis,0,0.9,Memphis is the state capital of Tennessee,0,0.8
R_2aqV6zl8msilky5,station,1,0.6,Grand Central in New York is the world's most used train station.,0,0.8
R_2aqV6zl8msilky5,letters,0,0.4,There are more 5 letter words than 12 letter words,0,0.6
R_2aqV6zl8msilky5,japan,1,0.1,Japan has the world's highest life expectancy,0,0.7
R_2aqV6zl8msilky5,kili,0,0.3,Mount Kilimanjaro is higher than Denali,0,0.8
R_2aqV6zl8msilky5,nile,1,0.6,The Nile River is more than double the length of the Volga,0,0.7
R_2aqV6zl8msilky5,muon,1,0.4,A muon has negative electric charge,1,0.6
R_2aqV6zl8msilky5,insects,1,0.6,Centipedes are considered insects,0,0.8
R_2aqV6zl8msilky5,jhb,1,0.8,Johannesburg is one of South Africa's three capital cities,0,0.8
R_2aqV6zl8msilky5,wu,0,0.4,More people speak Wu Chinese than Cantonese,1,0.6
R_2aqV6zl8msilky5,living,0,0.5,More living languages originate in N/S America than Europe,1,0.8
R_2aqV6zl8msilky5,mozam,0,0.1,Portuguese is the official language of Mozambique,1,0.5
R_2aqV6zl8msilky5,red,1,1,Red is higher frequency light than Blue,0,0.9
R_2aqV6zl8msilky5,russian,1,0.5,The Russian Cyrillic alphabet contains 29 letters,0,0.8
R_2aqV6zl8msilky5,eggs,1,0.8,A monotreme is a mammal which lays eggs,1,1
R_2aqV6zl8msilky5,ecuador,1,0.7,The point furthest from Earth's center is in Ecuador.,1,0.8
R_2aqV6zl8msilky5,jupiter,1,0.6,Jupiter was first discovered by Galileo Galilei,0,0.8
R_2aqV6zl8msilky5,Boer,1,0.7,The Crimean War was fought before the Boer Wars,1,0.9
R_2aqV6zl8msilky5,moldova,0,0.1,Transnistria is a disputed territory in Moldova,1,0.5
R_2aqV6zl8msilky5,alex,0,0,Alexander the Great became Pharaoh of Egypt,1,1
R_2aqV6zl8msilky5,leg,1,1,Blackbeard had a wooden leg,0,1
R_2aqV6zl8msilky5,alpha,1,0.7,An alpha particle is identical to a helium nucleus,1,0.8
R_2aqV6zl8msilky5,china,1,0.7,China borders the same number of countries as Russia,1,0.9
R_2aqV6zl8msilky5,constant,0,0,Avogadro's constant is greater than Planck's constant,1,0.5
R_2aqV6zl8msilky5,joan,1,0.9,Joan of Arc fought at the Battle of Agincourt,0,0.9
R_2aqV6zl8msilky5,nigeria,1,0.8,Nigeria is the country with most indigenous languages,0,0.8
R_2aqV6zl8msilky5,zip,1,0.4,The Empire State Building has its own zip code.,1,1
R_2aqV6zl8msilky5,khan,1,0.7,Genghis Khan's real name was Temujin,1,0.6
R_2aqV6zl8msilky5,norway,1,0.5,Norway separated from Sweden in the 20th Century,1,0.8
R_2aqV6zl8msilky5,baikal,1,0.5,Lake Baikal is the deepest lake in the world.,1,0.5
R_2aqV6zl8msilky5,billy,0,0.3,Billy the Kid never actually shot anyone dead,0,0.5
R_2aqV6zl8msilky5,cyprus,1,0.5,Cyprus is the only country to depict its map on its flag,0,0.8
R_2aqV6zl8msilky5,Beijing,1,0.6,Shanghai has a greater population than Beijing,1,0.8
R_2aqV6zl8msilky5,Borneo,0,0.3,The island of Borneo is occupied by three countries,1,0.6
R_2aqV6zl8msilky5,churchil,1,0.8,Sir Winston churchil was a Labour Prime Minister,0,0.9
R_2aqV6zl8msilky5,einstein,1,1,Albert Einstein never won a Nobel Prize in Physics,0,1
R_2aqV6zl8msilky5,fluffy,1,0.6,There is no German word meaning 'fluffy',0,0.5
R_2aqV6zl8msilky5,hydrogen,1,0.8,"When Hydrogen nuclei fuse, total mass decreases",1,0.9
R_2aqV6zl8msilky5,indiana,0,0.5,"Of all the American state flags, Indiana's has the most stars.",0,0.9
R_2aqV6zl8msilky5,euro,0,1,The currency of Switzerland is the Euro,0,0.6
R_2aqV6zl8msilky5,Georgia,1,0.8,Abkhazia is a disputed territory in Georgia.,1,0.7
R_2aqV6zl8msilky5,brass,1,0.5,Brass is an alloy of Copper and Mercury,0,0.7
R_2aqV6zl8msilky5,faroe,1,0.9,The Faroe Islands are an Icelandic territory.,0,1
R_2aqV6zl8msilky5,french,1,0.3,There are more native Japanese speakers than native French speakers,1,0.7
R_2aqV6zl8msilky5,andes,1,0.4,Part of the Andes mountain range is in Brazil.,0,0.7
R_2aqV6zl8msilky5,aorta,1,0.34,The aorta is a vein,0,1
R_2aqV6zl8msilky5,bigben,1,0.6,The White House was built before Big Ben,1,0.6
R_2aqV6zl8msilky5,Greek,1,0.6,There are 24 letters in the Greek alphabet,1,0.8
R_2aqV6zl8msilky5,birm,1,0.7,"Birmingham, Alabama has a larger population than Birmingham, UK.",0,1
R_2aqV6zl8msilky5,kyrgyz,0,0.7,More people speak Kyrgyz than Uzbek,0,0.7
R_2aqV6zl8msilky5,leptons,1,0.2,Leptons are made up of quarks,0,0.7
R_2aqV6zl8msilky5,macbeth,0,0.1,William Wallace lived before King Macbeth,0,0.5
R_2aqV6zl8msilky5,iberian,1,0.75,Croatia is on the Iberian Peninsula.,0,0.6
R_2aqV6zl8msilky5,nero,0,0.4,Nero was the first Roman Emperor,0,0.9
R_2aqV6zl8msilky5,rome,1,0.4,The Magna Carta was signed in Rome,0,0.8
R_2aqV6zl8msilky5,sahara,1,0.5,The Sahara Desert has a greater area than USA,0,1
R_2aqV6zl8msilky5,cow,0,0.6,'Cheval' is French for 'cow',0,0.8
R_2aqV6zl8msilky5,Tin,1,0.8,The chemical symbol for Tin is Sn,1,1
R_2aqV6zl8msilky5,widow,0,0.5,Napoleon Bonaparte's first wife was a widow,1,0.9
R_2aqV6zl8msilky5,rocket,1,0.1,Stephenson's Rocket was the first steam locomotive,0,0.9
R_2aqV6zl8msilky5,nitrogen,0,0.6,Earth's atmosphere is mostly Nitrogen,1,0.6
R_2aqV6zl8msilky5,riverSA,1,0.5,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.7
R_2aqV6zl8msilky5,vjday,1,0.6,VJ Day occurred prior to VE Day,0,0.7
R_2aqV6zl8msilky5,landl,1,0.3,Paraguay is a landlocked country.,1,0.8
R_2aqV6zl8msilky5,louis,1,0.6,Marie Antoinette was married to Louis XVI,1,0.8
R_2aqV6zl8msilky5,uranus,0,0.1,Uranus is bigger than Saturn,0,0.8
R_2aqV6zl8msilky5,death,0,0.3,Socrates was sentenced to death,1,0.6
R_2aqV6zl8msilky5,Rosetta,1,0.5,The Rosetta Stone contains an Ancient Greek section,1,0.8
R_2aqV6zl8msilky5,anagram,1,0.5,There are no single word anagrams of the word 'anagram',1,0.7
R_2aqV6zl8msilky5,dot,1,0.6,The dot above an 'i' or 'j' is called a 'tittle',1,0.7
R_2aqV6zl8msilky5,iron,1,0.5,The Iron Age comes after the Bronze Age,1,1
R_2aqV6zl8msilky5,custer,0,0.1,Custer was defeated at Little Bighorn,1,0.5
R_2aqV6zl8msilky5,newz,1,0.6,Wellington is located on New Zealand's North Island.,1,0.8
R_2aqV6zl8msilky5,Ocean,1,0.4,The Indian Ocean is the third largest ocean in the world,1,0.9
R_2aqV6zl8msilky5,Berlin,1,0.5,The Berlin Wall was constructed by East Germany,1,0.7
R_2aqV6zl8msilky5,africa,1,0.7,There are more countries in Africa than Asia,1,0.8
R_2aqV6zl8msilky5,lincoln,1,0.5,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.7
R_2aqV6zl8msilky5,atlantic,0,0.9,Columbus crossed the Atlantic in the Mary Rose,0,1
R_2aqV6zl8msilky5,femur,1,0.5,The longest bone in the human body is the femur,1,1
R_2aqV6zl8msilky5,year,0,0.9,A lightyear is a unit of distance,1,1
R_2aqV6zl8msilky5,Memphis,1,1,Memphis is the state capital of Tennessee,0,1
R_2P50X40TGEsZQE4,station,1,0.8,Grand Central in New York is the world's most used train station.,0,0.8
R_2P50X40TGEsZQE4,letters,1,0.9,There are more 5 letter words than 12 letter words,0,1
R_2P50X40TGEsZQE4,japan,1,0.7,Japan has the world's highest life expectancy,0,0.8
R_2P50X40TGEsZQE4,kili,1,0.5,Mount Kilimanjaro is higher than Denali,0,0.5
R_2P50X40TGEsZQE4,nile,0,0.5,The Nile River is more than double the length of the Volga,0,0.5
R_2P50X40TGEsZQE4,muon,1,0.5,A muon has negative electric charge,1,0.5
R_2P50X40TGEsZQE4,insects,1,0.5,Centipedes are considered insects,0,0.6
R_2P50X40TGEsZQE4,jhb,1,0.5,Johannesburg is one of South Africa's three capital cities,0,0.6
R_2P50X40TGEsZQE4,wu,1,0.5,More people speak Wu Chinese than Cantonese,1,0.7
R_2P50X40TGEsZQE4,living,1,0.5,More living languages originate in N/S America than Europe,1,0.6
R_2P50X40TGEsZQE4,mozam,1,0.5,Portuguese is the official language of Mozambique,1,0.8
R_2P50X40TGEsZQE4,red,0,0.6,Red is higher frequency light than Blue,0,0.7
R_2P50X40TGEsZQE4,russian,1,0.9,The Russian Cyrillic alphabet contains 29 letters,0,0.9
R_2P50X40TGEsZQE4,eggs,0,0.2,A monotreme is a mammal which lays eggs,1,0.5
R_2P50X40TGEsZQE4,ecuador,1,0.6,The point furthest from Earth's center is in Ecuador.,1,0.9
R_2P50X40TGEsZQE4,jupiter,1,0.5,Jupiter was first discovered by Galileo Galilei,0,0.6
R_2P50X40TGEsZQE4,Boer,0,0.5,The Crimean War was fought before the Boer Wars,1,0.5
R_2P50X40TGEsZQE4,moldova,1,0.5,Transnistria is a disputed territory in Moldova,1,0.5
R_2P50X40TGEsZQE4,alex,1,0.4,Alexander the Great became Pharaoh of Egypt,1,0.6
R_2P50X40TGEsZQE4,leg,1,0.5,Blackbeard had a wooden leg,0,0.6
R_2P50X40TGEsZQE4,alpha,1,0.5,An alpha particle is identical to a helium nucleus,1,0.5
R_2P50X40TGEsZQE4,china,0,0.5,China borders the same number of countries as Russia,1,1
R_2P50X40TGEsZQE4,constant,1,0.6,Avogadro's constant is greater than Planck's constant,1,0.9
R_2P50X40TGEsZQE4,joan,1,0.7,Joan of Arc fought at the Battle of Agincourt,0,0.6
R_2P50X40TGEsZQE4,nigeria,1,0.5,Nigeria is the country with most indigenous languages,0,0.6
R_2P50X40TGEsZQE4,zip,1,0.4,The Empire State Building has its own zip code.,1,0.6
R_2P50X40TGEsZQE4,khan,1,0.5,Genghis Khan's real name was Temujin,1,0.7
R_2P50X40TGEsZQE4,norway,1,0.6,Norway separated from Sweden in the 20th Century,1,0.7
R_2P50X40TGEsZQE4,baikal,1,0.8,Lake Baikal is the deepest lake in the world.,1,0.8
R_2P50X40TGEsZQE4,billy,1,0.6,Billy the Kid never actually shot anyone dead,0,0.7
R_2P50X40TGEsZQE4,cyprus,1,0.4,Cyprus is the only country to depict its map on its flag,0,0.7
R_2P50X40TGEsZQE4,Beijing,0,0.6,Shanghai has a greater population than Beijing,1,0.5
R_2P50X40TGEsZQE4,Borneo,1,0.8,The island of Borneo is occupied by three countries,1,0.8
R_2P50X40TGEsZQE4,churchil,1,0.5,Sir Winston churchil was a Labour Prime Minister,0,0.8
R_2P50X40TGEsZQE4,einstein,1,0.8,Albert Einstein never won a Nobel Prize in Physics,0,0.9
R_2P50X40TGEsZQE4,fluffy,1,0.5,There is no German word meaning 'fluffy',0,0.5
R_2P50X40TGEsZQE4,hydrogen,1,0.8,"When Hydrogen nuclei fuse, total mass decreases",1,0.8
R_2P50X40TGEsZQE4,indiana,0,0.5,"Of all the American state flags, Indiana's has the most stars.",0,0.5
R_2P50X40TGEsZQE4,euro,1,0.5,The currency of Switzerland is the Euro,0,1
R_2P50X40TGEsZQE4,Georgia,1,0.6,Abkhazia is a disputed territory in Georgia.,1,0.7
R_2P50X40TGEsZQE4,brass,1,0.7,Brass is an alloy of Copper and Mercury,0,0.6
R_2P50X40TGEsZQE4,faroe,1,0.5,The Faroe Islands are an Icelandic territory.,0,0.5
R_2P50X40TGEsZQE4,french,1,0.6,There are more native Japanese speakers than native French speakers,1,0.8
R_2P50X40TGEsZQE4,andes,0,0.55,Part of the Andes mountain range is in Brazil.,0,0.5
R_2P50X40TGEsZQE4,aorta,1,0.7,The aorta is a vein,0,0.7
R_2P50X40TGEsZQE4,bigben,0,1,The White House was built before Big Ben,1,1
R_2P50X40TGEsZQE4,Greek,1,0.9,There are 24 letters in the Greek alphabet,1,1
R_2P50X40TGEsZQE4,birm,1,0.5,"Birmingham, Alabama has a larger population than Birmingham, UK.",0,0.6
R_2P50X40TGEsZQE4,kyrgyz,0,0.4,More people speak Kyrgyz than Uzbek,0,0.8
R_2P50X40TGEsZQE4,leptons,1,0.5,Leptons are made up of quarks,0,0.5
R_2P50X40TGEsZQE4,macbeth,1,0.7,William Wallace lived before King Macbeth,0,0.8
R_2P50X40TGEsZQE4,iberian,1,0.5,Croatia is on the Iberian Peninsula.,0,0.7
R_2P50X40TGEsZQE4,nero,0,0.7,Nero was the first Roman Emperor,0,0.8
R_2P50X40TGEsZQE4,rome,1,0.2,The Magna Carta was signed in Rome,0,0.5
R_2P50X40TGEsZQE4,sahara,1,0.5,The Sahara Desert has a greater area than USA,0,0.5
R_2P50X40TGEsZQE4,cow,1,0.6,'Cheval' is French for 'cow',0,0.7
R_2P50X40TGEsZQE4,Tin,1,0.5,The chemical symbol for Tin is Sn,1,0.7
R_2P50X40TGEsZQE4,widow,0,0.6,Napoleon Bonaparte's first wife was a widow,1,0.7
R_2P50X40TGEsZQE4,rocket,1,0.6,Stephenson's Rocket was the first steam locomotive,0,0.6
R_2P50X40TGEsZQE4,nitrogen,1,0.5,Earth's atmosphere is mostly Nitrogen,1,1
R_2P50X40TGEsZQE4,riverSA,1,0.7,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.7
R_2P50X40TGEsZQE4,vjday,1,0.6,VJ Day occurred prior to VE Day,0,0.6
R_2P50X40TGEsZQE4,landl,1,0.95,Paraguay is a landlocked country.,1,0.9
R_2P50X40TGEsZQE4,louis,1,0.5,Marie Antoinette was married to Louis XVI,1,0.5
R_2P50X40TGEsZQE4,uranus,1,0.9,Uranus is bigger than Saturn,0,0.9
R_2P50X40TGEsZQE4,death,1,0.6,Socrates was sentenced to death,1,0.8
R_2P50X40TGEsZQE4,Rosetta,1,0.6,The Rosetta Stone contains an Ancient Greek section,1,0.7
R_2P50X40TGEsZQE4,anagram,1,0.6,There are no single word anagrams of the word 'anagram',1,0.9
R_2P50X40TGEsZQE4,dot,1,0.5,The dot above an 'i' or 'j' is called a 'tittle',1,0.5
R_2P50X40TGEsZQE4,iron,0,0.4,The Iron Age comes after the Bronze Age,1,0.8
R_2P50X40TGEsZQE4,custer,0,0.5,Custer was defeated at Little Bighorn,1,0.8
R_2P50X40TGEsZQE4,newz,1,0.9,Wellington is located on New Zealand's North Island.,1,0.9
R_2P50X40TGEsZQE4,Ocean,1,0.8,The Indian Ocean is the third largest ocean in the world,1,0.9
R_2P50X40TGEsZQE4,Berlin,1,0.3,The Berlin Wall was constructed by East Germany,1,0.5
R_2P50X40TGEsZQE4,africa,1,0.8,There are more countries in Africa than Asia,1,0.9
R_2P50X40TGEsZQE4,lincoln,1,0.5,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.5
R_2P50X40TGEsZQE4,atlantic,1,0.5,Columbus crossed the Atlantic in the Mary Rose,0,0.5
R_2P50X40TGEsZQE4,femur,1,0.45,The longest bone in the human body is the femur,1,0.7
R_2P50X40TGEsZQE4,year,1,0.5,A lightyear is a unit of distance,1,0.9
R_2P50X40TGEsZQE4,Memphis,1,0.8,Memphis is the state capital of Tennessee,0,0.8
R_1CKhWzM4SaA7sny,station,1,0.55,Grand Central in New York is the world's most used train station.,0,0.6
R_1CKhWzM4SaA7sny,letters,1,0.65,There are more 5 letter words than 12 letter words,0,0.7
R_1CKhWzM4SaA7sny,japan,0,0.4,Japan has the world's highest life expectancy,0,0.6
R_1CKhWzM4SaA7sny,kili,0,0.55,Mount Kilimanjaro is higher than Denali,0,0.6
R_1CKhWzM4SaA7sny,nile,1,0.5,The Nile River is more than double the length of the Volga,0,0.5
R_1CKhWzM4SaA7sny,muon,1,0.5,A muon has negative electric charge,1,0.5
R_1CKhWzM4SaA7sny,insects,1,0.55,Centipedes are considered insects,0,0.6
R_1CKhWzM4SaA7sny,jhb,1,0.5,Johannesburg is one of South Africa's three capital cities,0,0.5
R_1CKhWzM4SaA7sny,wu,1,0.5,More people speak Wu Chinese than Cantonese,1,0.5
R_1CKhWzM4SaA7sny,living,1,0.55,More living languages originate in N/S America than Europe,1,0.6
R_1CKhWzM4SaA7sny,mozam,1,0.5,Portuguese is the official language of Mozambique,1,0.5
R_1CKhWzM4SaA7sny,red,1,0.5,Red is higher frequency light than Blue,0,0.5
R_1CKhWzM4SaA7sny,russian,1,0.5,The Russian Cyrillic alphabet contains 29 letters,0,0.5
R_1CKhWzM4SaA7sny,eggs,1,0.5,A monotreme is a mammal which lays eggs,1,0.5
R_1CKhWzM4SaA7sny,ecuador,1,0.6,The point furthest from Earth's center is in Ecuador.,1,0.7
R_1CKhWzM4SaA7sny,jupiter,1,0.7,Jupiter was first discovered by Galileo Galilei,0,0.6
R_1CKhWzM4SaA7sny,Boer,1,0.5,The Crimean War was fought before the Boer Wars,1,0.5
R_1CKhWzM4SaA7sny,moldova,1,0.5,Transnistria is a disputed territory in Moldova,1,0.5
R_1CKhWzM4SaA7sny,alex,0,0.5,Alexander the Great became Pharaoh of Egypt,1,0.5
R_1CKhWzM4SaA7sny,leg,1,0.9,Blackbeard had a wooden leg,0,0.8
R_1CKhWzM4SaA7sny,alpha,0,0.55,An alpha particle is identical to a helium nucleus,1,0.6
R_1CKhWzM4SaA7sny,china,0,0.4,China borders the same number of countries as Russia,1,0.6
R_1CKhWzM4SaA7sny,constant,1,0.5,Avogadro's constant is greater than Planck's constant,1,0.5
R_1CKhWzM4SaA7sny,joan,1,0.55,Joan of Arc fought at the Battle of Agincourt,0,0.6
R_1CKhWzM4SaA7sny,nigeria,1,0.5,Nigeria is the country with most indigenous languages,0,0.5
R_1CKhWzM4SaA7sny,zip,1,0.65,The Empire State Building has its own zip code.,1,0.7
R_1CKhWzM4SaA7sny,khan,1,0.5,Genghis Khan's real name was Temujin,1,0.5
R_1CKhWzM4SaA7sny,norway,0,0.5,Norway separated from Sweden in the 20th Century,1,0.5
R_1CKhWzM4SaA7sny,baikal,1,0.65,Lake Baikal is the deepest lake in the world.,1,0.7
R_1CKhWzM4SaA7sny,billy,0,0.1,Billy the Kid never actually shot anyone dead,0,0.9
R_1CKhWzM4SaA7sny,cyprus,1,0.5,Cyprus is the only country to depict its map on its flag,0,0.5
R_1CKhWzM4SaA7sny,Beijing,1,0.4,Shanghai has a greater population than Beijing,1,0.5
R_1CKhWzM4SaA7sny,Borneo,0,0.45,The island of Borneo is occupied by three countries,1,0.5
R_1CKhWzM4SaA7sny,churchil,1,0.55,Sir Winston churchil was a Labour Prime Minister,0,0.6
R_1CKhWzM4SaA7sny,einstein,0,0.2,Albert Einstein never won a Nobel Prize in Physics,0,0.9
R_1CKhWzM4SaA7sny,fluffy,0,0.65,There is no German word meaning 'fluffy',0,0.7
R_1CKhWzM4SaA7sny,hydrogen,1,0.7,"When Hydrogen nuclei fuse, total mass decreases",1,0.7
R_1CKhWzM4SaA7sny,indiana,1,0.5,"Of all the American state flags, Indiana's has the most stars.",0,0.5
R_1CKhWzM4SaA7sny,euro,1,0.55,The currency of Switzerland is the Euro,0,0.6
R_1CKhWzM4SaA7sny,Georgia,1,0.5,Abkhazia is a disputed territory in Georgia.,1,0.5
R_1CKhWzM4SaA7sny,brass,0,0.25,Brass is an alloy of Copper and Mercury,0,0.8
R_1CKhWzM4SaA7sny,faroe,0,0.65,The Faroe Islands are an Icelandic territory.,0,0.7
R_1CKhWzM4SaA7sny,french,0,0.45,There are more native Japanese speakers than native French speakers,1,0.5
R_1CKhWzM4SaA7sny,andes,1,0.7,Part of the Andes mountain range is in Brazil.,0,0.6
R_1CKhWzM4SaA7sny,aorta,0,0.35,The aorta is a vein,0,0.7
R_1CKhWzM4SaA7sny,bigben,0,0.55,The White House was built before Big Ben,1,0.5
R_1CKhWzM4SaA7sny,Greek,1,0.55,There are 24 letters in the Greek alphabet,1,0.6
R_1CKhWzM4SaA7sny,birm,1,0.5,"Birmingham, Alabama has a larger population than Birmingham, UK.",0,0.5
R_1CKhWzM4SaA7sny,kyrgyz,1,0.5,More people speak Kyrgyz than Uzbek,0,0.5
R_1CKhWzM4SaA7sny,leptons,1,0.5,Leptons are made up of quarks,0,0.5
R_1CKhWzM4SaA7sny,macbeth,1,0.5,William Wallace lived before King Macbeth,0,0.5
R_1CKhWzM4SaA7sny,iberian,1,0.5,Croatia is on the Iberian Peninsula.,0,0.5
R_1CKhWzM4SaA7sny,nero,1,0.5,Nero was the first Roman Emperor,0,0.5
R_1CKhWzM4SaA7sny,rome,0,0.2,The Magna Carta was signed in Rome,0,0.9
R_1CKhWzM4SaA7sny,sahara,0,0.45,The Sahara Desert has a greater area than USA,0,0.6
R_1CKhWzM4SaA7sny,cow,1,0.5,'Cheval' is French for 'cow',0,0.5
R_1CKhWzM4SaA7sny,Tin,1,0.5,The chemical symbol for Tin is Sn,1,0.5
R_1CKhWzM4SaA7sny,widow,1,0.5,Napoleon Bonaparte's first wife was a widow,1,0.5
R_1CKhWzM4SaA7sny,rocket,1,0.5,Stephenson's Rocket was the first steam locomotive,0,0.5
R_1CKhWzM4SaA7sny,nitrogen,1,0.5,Earth's atmosphere is mostly Nitrogen,1,0.5
R_1CKhWzM4SaA7sny,riverSA,1,0.5,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.5
R_1CKhWzM4SaA7sny,vjday,0,0.1,VJ Day occurred prior to VE Day,0,0.9
R_1CKhWzM4SaA7sny,landl,1,0.5,Paraguay is a landlocked country.,1,0.5
R_1CKhWzM4SaA7sny,louis,1,0.65,Marie Antoinette was married to Louis XVI,1,0.6
R_1CKhWzM4SaA7sny,uranus,0,0.1,Uranus is bigger than Saturn,0,0.9
R_1CKhWzM4SaA7sny,death,1,0.75,Socrates was sentenced to death,1,1
R_1CKhWzM4SaA7sny,Rosetta,1,0.5,The Rosetta Stone contains an Ancient Greek section,1,0.5
R_1CKhWzM4SaA7sny,anagram,1,0.65,There are no single word anagrams of the word 'anagram',1,0.6
R_1CKhWzM4SaA7sny,dot,1,0.5,The dot above an 'i' or 'j' is called a 'tittle',1,0.5
R_1CKhWzM4SaA7sny,iron,0,0.45,The Iron Age comes after the Bronze Age,1,0.6
R_1CKhWzM4SaA7sny,custer,1,0.98,Custer was defeated at Little Bighorn,1,1
R_1CKhWzM4SaA7sny,newz,1,0.5,Wellington is located on New Zealand's North Island.,1,0.5
R_1CKhWzM4SaA7sny,Ocean,1,0.6,The Indian Ocean is the third largest ocean in the world,1,0.5
R_1CKhWzM4SaA7sny,Berlin,1,0.9,The Berlin Wall was constructed by East Germany,1,1
R_1CKhWzM4SaA7sny,africa,1,0.55,There are more countries in Africa than Asia,1,0.6
R_1CKhWzM4SaA7sny,lincoln,1,0.5,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.5
R_1CKhWzM4SaA7sny,atlantic,1,0.5,Columbus crossed the Atlantic in the Mary Rose,0,0.5
R_1CKhWzM4SaA7sny,femur,1,0.65,The longest bone in the human body is the femur,1,0.7
R_1CKhWzM4SaA7sny,year,1,0.9,A lightyear is a unit of distance,1,1
R_1CKhWzM4SaA7sny,Memphis,1,0.55,Memphis is the state capital of Tennessee,0,0.6
R_z1C1YBPP81Imj6x,station,1,0.75,Grand Central in New York is the world's most used train station.,0,0.8
R_z1C1YBPP81Imj6x,letters,1,0.65,There are more 5 letter words than 12 letter words,0,0.9
R_z1C1YBPP81Imj6x,japan,1,0.5,Japan has the world's highest life expectancy,0,0.7
R_z1C1YBPP81Imj6x,kili,1,0.75,Mount Kilimanjaro is higher than Denali,0,0.8
R_z1C1YBPP81Imj6x,nile,1,0.6,The Nile River is more than double the length of the Volga,0,0.8
R_z1C1YBPP81Imj6x,muon,0,0.4,A muon has negative electric charge,1,0.6
R_z1C1YBPP81Imj6x,insects,0,0.9,Centipedes are considered insects,0,1
R_z1C1YBPP81Imj6x,jhb,1,0.75,Johannesburg is one of South Africa's three capital cities,0,0.8
R_z1C1YBPP81Imj6x,wu,0,0.05,More people speak Wu Chinese than Cantonese,1,1
R_z1C1YBPP81Imj6x,living,0,0.45,More living languages originate in N/S America than Europe,1,0.6
R_z1C1YBPP81Imj6x,mozam,0,0.5,Portuguese is the official language of Mozambique,1,0.7
R_z1C1YBPP81Imj6x,red,1,0.9,Red is higher frequency light than Blue,0,1
R_z1C1YBPP81Imj6x,russian,0,0.25,The Russian Cyrillic alphabet contains 29 letters,0,0.6
R_z1C1YBPP81Imj6x,eggs,0,0.25,A monotreme is a mammal which lays eggs,1,0.9
R_z1C1YBPP81Imj6x,ecuador,0,0.5,The point furthest from Earth's center is in Ecuador.,1,0.6
